feature,importance
roll_14_mean,0.36335364351738775
roll_7_mean,0.16781857049216642
lag_7,0.11104263404966443
lag_14,0.09514260264752457
ema_7,0.08684555877694079
festival_mult,0.04281288168830009
day_mult,0.02686467846589167
dow,0.023145707252476274
lag_1,0.019450626829372247
roll_7_std,0.0107431445644544
temp_c,0.01063137430434636
dom,0.007912468543690019
lag_3,0.006805246427653287
woy,0.0061309412008425015
weather_mult,0.004589252880661172
sku_enc,0.004237433943537766
store_enc,0.0030972498757843325
cat_enc,0.0028708949030663757
is_wknd,0.002779756770636823
month,0.0023239620459162428
quarter,0.0007701653563845583
is_rain,0.0006312054633019732
